material,rA,rB,rX,nA,nB,nX,rA_rB_ratio,rA_rX_ratio,rB_rX_ratio,rS_A,rP_A,Z_A,HOMO_A,LUMO_A,EA_A,IP_A,rS_B,rP_B,Z_B,HOMO_B,LUMO_B,EA_B,IP_B,rS_X,rP_X,Z_X,HOMO_X,LUMO_X,EA_X,IP_X,rX_rB_ratio,t_sisso,t,tau,p_t_sisso,exp_label
BaGeO3,1.61,0.53,1.4,2,4,-2,3.03774,1.15,0.378571,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.922,1.1722,32,-3.894931082,-3.894931216,-0.915962684,7.445211101,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.641512424,4.109431104,1.102796255,4.109428114,0.596844596,0
BaLiBr3,1.61,0.76,1.96,2,1,-1,2.11842,0.821429,0.387755,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.6576,2.0134,3,-2.874140786,-1.020757781,-0.756113885,5.297381505,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,2.578948047,4.223022036,0.928079988,4.223021357,0.480982038,0
BaLiCl3,1.61,0.76,1.81,2,1,-1,2.11842,0.889503,0.41989,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.6576,2.0134,3,-2.874140786,-1.020757781,-0.756113885,5.297381505,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.381576127,4.025650116,0.940977153,4.025652936,0.674329288,0
BaMnO3,1.61,0.53,1.4,2,4,-2,3.03774,1.15,0.378571,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.4083,2.0542,25,-4.4111366,-0.936468672,-1.152247223,7.312724568,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.641512424,4.109431104,1.102796255,4.109428114,0.596844596,0
BaNaBr3,1.61,1.02,1.96,2,1,-1,1.57843,0.821429,0.520408,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.7588,2.6021,11,-2.744531102,-2.744531196,-0.757021682,5.147636082,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,1.92156923,4.837975431,0.847106566,4.837974828,0.06084367,0
BaNaCl3,1.61,1.02,1.81,2,1,-1,1.57843,0.889503,0.563536,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.7588,2.6021,11,-2.744531102,-2.744531196,-0.757021682,5.147636082,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,1.774509526,4.690915726,0.854526955,4.690916004,0.108536687,0
BaNaF3,1.61,1.02,1.33,2,1,-1,1.57843,1.21053,0.766917,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.7588,2.6021,11,-2.744531102,-2.744531196,-0.757021682,5.147636082,0.4044,0.374,9,-11.11141622,1.13668157,-4.336301294,19.39159515,1.303922067,4.220328268,0.884637946,4.220327769,0.48380269,0
BaNiO3,1.61,0.48,1.4,2,4,-2,3.35417,1.15,0.342857,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.2517,1.5674,28,-4.439555219,-4.439555371,-1.351387103,7.89877133,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.916667882,4.459814386,1.132125943,4.459813171,0.250427368,0
BaRuO3,1.61,0.62,1.4,2,4,-2,2.59677,1.15,0.442857,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,1.484,2.1211,44,-3.652617833,-3.652617958,-1.199648337,7.647563123,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.258065245,3.700496525,1.053661769,3.700495797,0.878733239,0
BaSiO3,1.61,0.4,1.4,2,4,-2,4.025,1.15,0.285714,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.9466,1.1405,14,-4.081062694,-4.081062834,-1.044708796,7.740621249,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,3.5000035,5.280869564,1.182442652,5.280866064,0.010257325,0
BaTeO3,1.61,0.97,1.4,2,4,-2,1.65979,1.15,0.692857,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.9497,1.1492,52,-5.951704724,0.193945998,-2.575488931,9.729526165,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,1.443299267,3.994786112,0.89805771,3.994785815,0.700475951,0
CaCO3,1.34,0.16,1.4,2,4,-2,8.375,0.957143,0.114286,1.7984,2.3102,20,-3.766160788,-1.945847603,0.149995456,6.309259883,0.6418,0.6367,6,-5.285420962,-5.285421144,-1.008550072,10.86176257,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,8.749978125,12.63139984,1.241972731,12.63142172,9.40E-15,0
CaCuCl3,1.34,0.77,1.81,2,1,-1,1.74026,0.740331,0.425414,1.7984,2.3102,20,-3.766160788,-1.945847603,0.149995456,6.309259883,1.2022,2.0302,29,-4.608164122,-0.602440535,-1.547456908,8.147436643,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.350651365,4.632786915,0.863330222,4.6327849,0.135481588,0
CaLiBr3,1.34,0.76,1.96,2,1,-1,1.76316,0.683673,0.387755,1.7984,2.3102,20,-3.766160788,-1.945847603,0.149995456,6.309259883,1.6576,2.0134,3,-2.874140786,-1.020757781,-0.756113885,5.297381505,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,2.578948047,4.797026708,0.857889065,4.79702603,0.071611585,0
CaLiCl3,1.34,0.76,1.81,2,1,-1,1.76316,0.740331,0.41989,1.7984,2.3102,20,-3.766160788,-1.945847603,0.149995456,6.309259883,1.6576,2.0134,3,-2.874140786,-1.020757781,-0.756113885,5.297381505,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.381576127,4.599654788,0.866689483,4.599657609,0.153316419,0
CaLiF3,1.34,0.76,1.33,2,1,-1,1.76316,1.00752,0.571429,1.7984,2.3102,20,-3.766160788,-1.945847603,0.149995456,6.309259883,1.6576,2.0134,3,-2.874140786,-1.020757781,-0.756113885,5.297381505,0.4044,0.374,9,-11.11141622,1.13668157,-4.336301294,19.39159515,1.749998688,3.968077349,0.903339647,3.968078661,0.721962047,0
CdCO3,1.31,0.16,1.4,2,4,-2,8.1875,0.935714,0.114286,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,0.6418,0.6367,6,-5.285420962,-5.285421144,-1.008550072,10.86176257,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,8.749978125,12.53792306,1.22837449,12.53794493,1.33E-14,0
CdCuCl3,1.31,0.77,1.81,2,1,-1,1.7013,0.723757,0.425414,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,1.2022,2.0302,29,-4.608164122,-0.602440535,-1.547456908,8.147436643,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.350651365,4.753825941,0.855108029,4.753823926,0.084935257,0
CdCuI3,1.31,0.77,2.2,2,1,-1,1.7013,0.595455,0.35,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,1.2022,2.0302,29,-4.608164122,-0.602440535,-1.547456908,8.147436643,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,2.857142857,5.260317432,0.835673756,5.260317432,0.011136845,0
CdPbO3,1.31,0.78,1.4,2,4,-2,1.67949,0.935714,0.557143,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,1.0396,1.4049,82,-3.496077579,-3.496077699,-0.883045121,6.576347749,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,1.794871335,4.273258305,0.879020277,4.273258766,0.428404848,0
CdSeO3,1.31,0.5,1.4,2,4,-2,2.62,0.935714,0.357143,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,0.7997,0.9578,34,-6.51048797,-0.211187538,-2.730814282,10.84576398,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.79999888,4.240343274,1.008560107,4.240344394,0.462829227,0
CdSO3,1.31,0.37,1.4,2,4,-2,3.54054,0.935714,0.264286,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,0.7473,0.8493,16,-7.008381488,0.814517553,-2.847077607,11.76931965,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,3.783779693,5.384662533,1.082635144,5.384666623,0.006778791,0
CoCO3,0.9,0.16,1.4,2,4,-2,5.625,0.642857,0.114286,1.2878,1.614,27,-4.433222619,0.143554959,-1.359047269,7.672566088,0.6418,0.6367,6,-5.285420962,-5.285421144,-1.008550072,10.86176257,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,8.749978125,11.26333127,1.042531855,11.26335315,1.52E-12,0
CoMnO3,0.9,0.53,1.4,2,4,-2,1.69811,0.642857,0.378571,1.2878,1.614,27,-4.433222619,0.143554959,-1.359047269,7.672566088,0.4083,2.0542,25,-4.4111366,-0.936468672,-1.152247223,7.312724568,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.641512424,5.055333437,0.842668235,5.055330447,0.02539051,0
CoSeO3,0.9,0.5,1.4,2,4,-2,1.8,0.642857,0.357143,1.2878,1.614,27,-4.433222619,0.143554959,-1.359047269,7.672566088,0.7997,0.9578,34,-6.51048797,-0.211187538,-2.730814282,10.84576398,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.79999888,4.924669981,0.855973523,4.924671101,0.042983257,0
CoSiO3,0.9,0.4,1.4,2,4,-2,2.25,0.642857,0.285714,1.2878,1.614,27,-4.433222619,0.143554959,-1.359047269,7.672566088,0.9466,1.1405,14,-4.081062694,-4.081062834,-1.044708796,7.740621249,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,3.5000035,5.04918629,0.903527607,5.04918279,0.026027549,0
CoTiO3,0.9,0.6,1.4,2,4,-2,1.5,0.642857,0.428571,1.2878,1.614,27,-4.433222619,0.143554959,-1.359047269,7.672566088,1.5467,2.0603,22,-4.219539298,-4.219539443,-0.313899272,7.119306924,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.333335667,5.732246054,0.813174847,5.73224372,0.001720675,0
